"","method","beta","lci95","uci95","or","or_lci95","or_uci95","pval","exposure","outcome"
"1","BWMR",0.114528350938084,-0.0569175993413714,0.285974301217539,1.12134443177987,0.944671907746899,1.33105824823639,0.190430014028094,"GCST90277238","GCST012879"
"2","BWMR",0.0118175390666769,-0.199447665720089,0.223082743853443,1.01188764205759,0.819183091048308,1.24992399298496,0.912697666276357,"GCST90277239","GCST012879"
"3","BWMR",0.0454869163241398,-0.0439748293820577,0.134948662030337,1.04653731196941,0.956978044898645,1.14447802766484,0.318976182806245,"GCST90277240","GCST012879"
"4","BWMR",-0.0153968179460761,-0.121461243678407,0.0906676077862549,0.984721107056347,0.885625376265641,1.09490500686763,0.776009649816455,"GCST90277241","GCST012879"
"5","BWMR",0.0676207654931677,-0.0447239461471979,0.179965477133533,1.06995946597849,0.956261425050824,1.19717603246008,0.23810664882236,"GCST90277242","GCST012879"
"6","BWMR",0.143595917449672,-0.0412921924549065,0.32848402735425,1.15441753428261,0.959548716087431,1.38886105636529,0.127943642974134,"GCST90277243","GCST012879"
"7","BWMR",0.0716217866943777,-0.0459313105304538,0.189174883919209,1.07424897196624,0.955107565769604,1.20825223789391,0.232410411677371,"GCST90277244","GCST012879"
"8","BWMR",0.0255198810390305,-0.0721148948527034,0.123154656930764,1.02584830099782,0.930423988742649,1.13105933358646,0.608436255069117,"GCST90277245","GCST012879"
"9","BWMR",0.00623649020645024,-0.102062533440471,0.114535513853372,1.00625597760142,0.902973083889745,1.12135246390381,0.910135011722319,"GCST90277246","GCST012879"
"10","BWMR",0.145675743189321,0.0120300324874539,0.279321453891188,1.15682102013419,1.01210268437082,1.32223231228384,0.0326445327163493,"GCST90277247","GCST012879"
"11","BWMR",0.0259870116719935,-0.0602607243588715,0.112234747702858,1.02632761810713,0.941519024636494,1.11877545979077,0.554814651983644,"GCST90277248","GCST012879"
"12","BWMR",0.0877209048800488,-0.00417046878817323,0.179612278548271,1.09168339599805,0.995838215540016,1.19675326624372,0.0613387258346699,"GCST90277249","GCST012879"
"13","BWMR",0.10081655152591,0.0345411669636529,0.167091936088168,1.10607371561539,1.03514464126081,1.18186291616708,0.00286834648397462,"GCST90277250","GCST012879"
"14","BWMR",-0.0903800245185,-0.22402558298486,0.0432655339478597,0.913583934998591,0.799294685763954,1.04421513260754,0.185011172156856,"GCST90277251","GCST012879"
"15","BWMR",-0.0795618454768287,-0.186814111248895,0.0276904202952381,0.923520902611816,0.82959793497712,1.02807736326449,0.145955553702981,"GCST90277252","GCST012879"
"16","BWMR",-0.0206911299797437,-0.107618820227654,0.066236560268167,0.979521462664773,0.897969819133336,1.06847944705642,0.640834208014988,"GCST90277253","GCST012879"
"17","BWMR",-0.0160611164814623,-0.111578514193841,0.0794562812309168,0.984067175494103,0.894421163889738,1.08269822426107,0.741723947978214,"GCST90277254","GCST012879"
"18","BWMR",-0.0353481806665679,-0.148480312446951,0.0777839511138148,0.965269269643364,0.862016978008425,1.08088910855388,0.540271290701414,"GCST90277255","GCST012879"
"19","BWMR",0.0121604891434896,-0.0744357207970501,0.0987566990840294,1.01223472851542,0.92826714041322,1.10379771189204,0.783133473216174,"GCST90277256","GCST012879"
"20","BWMR",-0.0358850297262431,-0.144631482555768,0.0728614231032818,0.964751204817373,0.86534112765984,1.07558147584364,0.517776555417994,"GCST90277257","GCST012879"
"21","BWMR",-0.0488550041889,-0.199179360122014,0.101469351744214,0.952319201983429,0.819402911945755,1.10679599650531,0.524128338335129,"GCST90277258","GCST012879"
"22","BWMR",0.00324054155902915,-0.0929918549009304,0.0994729380189886,1.00324579778997,0.911200922087698,1.10458857798035,0.947376805460373,"GCST90277259","GCST012879"
"23","BWMR",-0.0718586231281358,-0.190635563129369,0.0469183168730978,0.930662460658323,0.826433716194094,1.04803639869309,0.235710583842091,"GCST90277260","GCST012879"
"24","BWMR",0.000765479241890561,-0.099406135747845,0.100937094231626,1.0007657722959,0.905374928220788,1.10620705277004,0.988049979841078,"GCST90277261","GCST012879"
"25","BWMR",-0.0157527520222198,-0.0998783086583017,0.0683728046138621,0.984370673628147,0.904947535615421,1.07076441999498,0.713607361107513,"GCST90277262","GCST012879"
"26","BWMR",0.0152252035332188,-0.100275083736631,0.130725490803068,1.01534169740798,0.904588546209828,1.13965489261919,0.79612410860798,"GCST90277263","GCST012879"
"27","BWMR",0.0143801188281634,-0.105631801711178,0.134392039367505,1.01448401012934,0.899755875667244,1.14384116252076,0.814323649133481,"GCST90277264","GCST012879"
"28","BWMR",0.00189642775298484,-0.112236302547317,0.116029158053287,1.00189822710937,0.893833017524151,1.12302861698412,0.974019622157237,"GCST90277265","GCST012879"
"29","BWMR",-0.157258742559375,-0.313019879120622,-0.00149760599812773,0.854482939109772,0.731235376108152,0.998503514854134,0.0478334680794543,"GCST90277266","GCST012879"
"30","BWMR",-0.132112172876493,-0.305156102683377,0.0409317569303911,0.876242698902352,0.737008316435567,1.04178100878568,0.134554081690524,"GCST90277267","GCST012879"
"31","BWMR",0.0511147116344374,-0.0419897633428842,0.144219186611759,1.05244361388614,0.958879596243887,1.15513727140358,0.281906026592168,"GCST90277268","GCST012879"
"32","BWMR",0.10081655152591,0.0345411669636529,0.167091936088168,1.10607371561539,1.03514464126081,1.18186291616708,0.00286834648397462,"GCST90277250","GCST012879"
"33","BWMR",0.130153466507855,0.0267598994673677,0.233547033548341,1.13900316875117,1.02712116081745,1.26307223326282,0.0136144167710064,"GCST90277288","GCST012879"
"34","BWMR",0.120314113959551,0.0523254725390517,0.18830275538005,1.12785106970932,1.05371864319021,1.20719894600446,0.000523456745354117,"GCST90277298","GCST012879"
"35","BWMR",0.102550071087542,0.00860851189469911,0.196491630280385,1.10799277892433,1.00864567168685,1.21712513383946,0.0323864356645647,"GCST90277305","GCST012879"
"36","BWMR",-0.115347762154108,-0.193729850219798,-0.0369656740884187,0.891056214390529,0.823880445328733,0.963709214978609,0.00392218778749207,"GCST90277311","GCST012879"
"37","BWMR",0.183363974575677,0.103772620370378,0.262955328780975,1.20125155354557,1.10934818305694,1.30076861073434,6.31726771163311e-06,"GCST90277330","GCST012879"
"38","BWMR",0.194626720797004,0.0798953101104907,0.309358131483517,1.21485742083188,1.08317366440773,1.36255025527905,0.000884560455555134,"GCST90277336","GCST012879"
