"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95","P.adj"
"3","GS2sTv","Br6NAz","GCST012879","GCST90277238","Inverse variance weighted",12,0.0807518929514269,0.0821874500252212,0.325837267112161,-0.0803355090980067,0.24183929500086,1.08410188987666,0.922806684404015,1.27358950416922,0.610400140737672
"8","gmocQk","8tm8lu","GCST012879","GCST90277239","Inverse variance weighted",5,0.0138713774179103,0.103270385073013,0.893148778556337,-0.188538577325195,0.216281332161016,1.01396803136436,0.828168554294754,1.24145159013486,0.96970438814688
"13","D3tYvh","2F04G9","GCST012879","GCST90277240","Inverse variance weighted",22,0.0682564635789883,0.0458417310167748,0.136498133340385,-0.0215933292138904,0.158106256371867,1.07063985340049,0.978638137678806,1.17129064519008,0.349021013258658
"18","Aw0Bgc","HdxxSh","GCST012879","GCST90277241","Inverse variance weighted",18,-0.0124680368163275,0.0523127008335996,0.811619953928533,-0.115000930450183,0.0900648568175277,0.987609367128992,0.891365314535426,1.09424525066839,0.949621026098022
"23","W0ximH","eTUAa0","GCST012879","GCST90277242","Inverse variance weighted",14,0.0654224087459231,0.0570556913181122,0.25152992406584,-0.0464067462375767,0.177251563729423,1.06760989690893,0.954653581457421,1.19393140518871,0.517566130972848
"28","asnVSa","jvBUeO","GCST012879","GCST90277243","Inverse variance weighted",9,0.10423023937615,0.0840915799494711,0.215165995820329,-0.0605892573248136,0.269049736077113,1.10985595804441,0.94120975540419,1.3087202300381,0.480959284774853
"33","aCOnzA","rA0iXU","GCST012879","GCST90277244","Inverse variance weighted",17,0.0780592980626738,0.0574866360814467,0.174505382479424,-0.0346145086569618,0.190733104782309,1.08118676905005,0.965977720541753,1.21013642935086,0.414450283388632
"38","FrGmOD","92ekkz","GCST012879","GCST90277245","Inverse variance weighted",19,0.0230828434402237,0.0487196011793232,0.635649906421651,-0.0724075748712498,0.118573261751697,1.02335131397907,0.930151712079281,1.12588935570699,0.871167349963115
"43","309VFt","0IzSjw","GCST012879","GCST90277246","Inverse variance weighted",14,0.0167632133997202,0.0564845432129875,0.76663811624172,-0.0939464912977353,0.127472918097176,1.01690450445472,0.910331471593244,1.13595410402593,0.949621026098022
"48","WECm9u","jvBUeO","GCST012879","GCST90277247","Inverse variance weighted",14,0.156152036514781,0.0633434650266832,0.0136950510929781,0.0319988450624821,0.28030522796708,1.16900392086162,1.0325163128126,1.32353373020062,0.0578235490592409
"53","q5gP3G","jvBUeO","GCST012879","GCST90277248","Inverse variance weighted",18,0.0199067405401849,0.0421728297808618,0.636907072985017,-0.0627520058303043,0.102565486910674,1.02010620103726,0.939176355071701,1.10800985967669,0.871167349963115
"58","nbQHIF","eTUAa0","GCST012879","GCST90277249","Inverse variance weighted",20,0.0936890732247092,0.0457201552135574,0.0404439920012582,0.00407756900613655,0.183300577443282,1.09821822737429,1.00408589360149,1.20117540005577,0.128072641337318
"63","KsN3wf","bQtTCU","GCST012879","GCST90277250","Inverse variance weighted",19,0.0971788117356926,0.0301672828452653,0.00127596567240125,0.0380509373589727,0.156306686112412,1.1020574168032,1.03878414445176,1.16918472082758,0.00606083694390592
"68","NM5Ymx","0IzSjw","GCST012879","GCST90277251","Inverse variance weighted",16,-0.0704786869284592,0.0734565167136437,0.337326393565556,-0.214453459687201,0.0734960858302824,0.931947601980048,0.806982368069785,1.07626432398242,0.610400140737672
"73","C44iX7","d8pIgX","GCST012879","GCST90277252","Inverse variance weighted",15,-0.0774317651876044,0.0521727735395698,0.137771452602102,-0.179690401325161,0.0248268709499525,0.925490172890471,0.835528849996873,1.02513762405695,0.349021013258658
"78","zUvvuF","0Lfo1A","GCST012879","GCST90277253","Inverse variance weighted",18,-0.0217682458335926,0.0407247050984563,0.592980517329906,-0.101588667826567,0.0580521761593817,0.978466972574099,0.903401073181176,1.05977028901129,0.871167349963115
"83","pUtC32","eTUAa0","GCST012879","GCST90277254","Inverse variance weighted",14,-0.0145072559787953,0.0503888514538271,0.773418643640982,-0.113269404828297,0.0842548928707059,0.985597467232114,0.892910073424847,1.08790615799466,0.949621026098022
"88","e6wxaN","jvBUeO","GCST012879","GCST90277255","Inverse variance weighted",14,-0.034521845393626,0.0545531903631606,0.526857234846614,-0.141446098505421,0.0724024077181688,0.966067235336951,0.868101966317267,1.07508788069084,0.834190621840473
"93","o5dHP6","jvBUeO","GCST012879","GCST90277256","Inverse variance weighted",23,0.00589946204978278,0.0414251659713644,0.886754177990933,-0.0752938632540914,0.087092787353657,1.00591689814702,0.927470896662703,1.09099790583048,0.96970438814688
"98","umulca","fvqlRI","GCST012879","GCST90277257","Inverse variance weighted",18,-0.0453652507083256,0.0525208484541584,0.387721391770179,-0.148306113678476,0.0575756122618248,0.955648366836834,0.862167153384201,1.05926536107661,0.669700585784855
"103","P8LXeu","eTUAa0","GCST012879","GCST90277258","Inverse variance weighted",8,-0.0519458877074374,0.0710312004319469,0.46458930347099,-0.191167040554053,0.0872752651391785,0.949380238594179,0.825994602030907,1.09119700687755,0.767582327473809
"108","cAIiey","gmTfhF","GCST012879","GCST90277259","Inverse variance weighted",17,-0.000729865056200134,0.0455380535075173,0.987212384295818,-0.0899844499309341,0.0885247198185338,0.999270401230512,0.913945397074778,1.09256126019276,0.987212384295818
"113","ttad1g","92ekkz","GCST012879","GCST90277260","Inverse variance weighted",13,-0.0672162302493217,0.0595217309312864,0.258783065486424,-0.183878822874643,0.0494463623759996,0.934993005706421,0.832036621524137,1.0506892342293,0.517566130972848
"118","KV7BdP","IoEPey","GCST012879","GCST90277261","Inverse variance weighted",19,-0.00398010286423119,0.0448686422832579,0.929315828269336,-0.0919226417394167,0.0839624360109544,0.996027807247341,0.912175711142154,1.08758803889632,0.98094448539541
"123","i0rose","0IzSjw","GCST012879","GCST90277262","Inverse variance weighted",23,-0.0186391781280915,0.0400820064745806,0.641912784183348,-0.0971999108182694,0.0599215545620864,0.981533457095711,0.907374594003189,1.06175325357949,0.871167349963115
"128","W4MeMk","fvqlRI","GCST012879","GCST90277263","Inverse variance weighted",14,0.0139186902393089,0.0557296356338754,0.80277772257374,-0.0953113956030869,0.123148776081705,1.01401600618763,0.909089803819979,1.1310526820168,0.949621026098022
"133","x2Q8VF","jvBUeO","GCST012879","GCST90277264","Inverse variance weighted",14,0.0124984188917779,0.0564157213897267,0.824670891085125,-0.0980763950320864,0.123073232815642,1.01257685054578,0.906579642927453,1.13096724183037,0.949621026098022
"138","vp9BTH","jvBUeO","GCST012879","GCST90277265","Inverse variance weighted",15,0.00105007699781954,0.0554828775914183,0.98490002241496,-0.10769636308136,0.109796517076999,1.0010506285217,0.897900190690647,1.11605095004256,0.987212384295818
"143","m958aS","0Lfo1A","GCST012879","GCST90277266","Inverse variance weighted",10,-0.151826513141435,0.071029172303387,0.0325554499757114,-0.291043690856074,-0.0126093354267969,0.859137316847022,0.747483019131642,0.987469829156223,0.123710709907703
"148","Zt77Ns","GSatlJ","GCST012879","GCST90277267","Inverse variance weighted",12,-0.148397627466273,0.0816767892479707,0.0692341722280352,-0.308484134392296,0.0116888794597494,0.862088256812398,0.734559606341269,1.01175746136598,0.202376811128103
"153","NYdqdr","8tm8lu","GCST012879","GCST90277268","Inverse variance weighted",12,0.0917800167193593,0.0440452188498187,0.0371812772295681,0.00545138777371469,0.178108645665004,1.09612366667653,1.00546627362527,1.19495514087843,0.128072641337318
"158","KsN3wf","8tm8lu","GCST012879","GCST90277250","Inverse variance weighted",19,0.0971788117356926,0.0301672828452653,0.00127596567240125,0.0380509373589727,0.156306686112412,1.1020574168032,1.03878414445176,1.16918472082758,0.00606083694390592
"163","RTvsF8","0IzSjw","GCST012879","GCST90277288","Inverse variance weighted",12,0.151392707033653,0.0446111594943586,0.000689788090838444,0.0639548344247097,0.238830579642595,1.16345346473929,1.06604424917236,1.2697633945915,0.00524238949037217
"168","VDGwEH","8tm8lu","GCST012879","GCST90277298","Inverse variance weighted",25,0.122063937690746,0.0323042319052449,0.000157728847654182,0.0587476431564659,0.185380232225026,1.12982633795798,1.06050758062306,1.20367602954199,0.00184939991738846
"173","u5hqzI","qdac6V","GCST012879","GCST90277305","Inverse variance weighted",13,0.12892246073709,0.0394057222548737,0.00106914851831827,0.0516872451175374,0.206157676356642,1.13760191193208,1.05304634561975,1.22894696459906,0.00606083694390592
"178","NyaOUZ","IoEPey","GCST012879","GCST90277311","Inverse variance weighted",15,-0.12749991963984,0.0316538530309263,5.62669505359185e-05,-0.189541471580456,-0.0654583676992245,0.880293486574744,0.827338405154747,0.936638040344539,0.00106907206018245
"183","mXzmYb","0Lfo1A","GCST012879","GCST90277330","Inverse variance weighted",11,0.203806403706882,0.0343687726589632,3.02957128194574e-09,0.136443609295314,0.271169198118449,1.2260607696585,1.14619024147792,1.31149695442992,1.15123708713938e-07
"188","qzc7HT","Tnn3eu","GCST012879","GCST90277336","Inverse variance weighted",11,0.196787048989134,0.052816971136856,0.000194673675514575,0.093265785560896,0.300308312417371,1.21748474849071,1.09775346351781,1.35027504997113,0.00184939991738846
